,0
0,18
1,18
2,18
3,11
4,18
5,11
6,9
7,18
8,11
9,11
10,18
11,9
12,11
13,11
14,18
15,9
16,9
17,18
18,18
19,18
20,18
21,18
22,18
23,9
24,9
25,9
26,18
27,9
28,18
29,18
30,18
31,18
32,11
33,9
34,18
35,9
36,5
37,18
38,18
39,11
40,18
41,11
42,11
43,9
44,18
45,9
46,18
47,18
48,18
49,11
50,11
51,18
52,18
53,11
54,18
55,18
56,11
57,18
58,18
59,11
60,18
61,11
62,18
63,18
64,18
65,18
66,18
67,18
68,18
69,18
70,18
71,9
72,9
73,11
74,11
75,18
76,18
77,18
78,11
79,18
80,18
81,18
82,18
83,9
84,11
85,9
86,11
87,9
88,18
89,11
90,18
91,18
92,18
93,18
94,18
95,9
96,9
97,9
98,18
99,18
100,18
101,18
102,9
103,9
104,9
105,18
106,9
107,18
108,18
109,11
110,18
111,9
112,11
113,18
114,9
115,18
116,18
117,11
118,18
119,11
120,18
121,18
122,9
123,18
124,9
125,11
126,9
127,18
128,18
129,18
130,18
131,18
132,18
133,15
134,18
135,18
136,11
137,18
138,18
139,18
140,18
141,18
142,18
143,11
144,9
145,11
146,11
147,9
148,18
149,18
150,9
151,9
152,18
153,18
154,18
155,9
156,18
157,17
158,18
159,18
160,9
161,9
162,18
163,18
164,18
165,18
166,18
167,18
168,18
169,18
170,18
171,18
172,9
173,9
174,9
175,18
176,18
177,18
178,9
179,18
180,18
181,18
182,18
183,18
184,18
185,18
186,11
187,18
188,18
189,11
190,11
191,9
192,18
193,18
194,9
195,9
196,18
197,9
198,9
199,11
200,18
201,18
202,18
203,11
204,18
205,18
206,18
207,18
208,18
209,18
210,9
211,18
212,11
213,18
214,11
215,18
216,11
217,18
218,9
219,18
220,9
221,18
222,11
223,18
224,18
225,18
226,18
227,11
228,18
229,18
230,9
231,9
232,11
233,18
234,18
235,18
236,18
237,9
238,11
239,18
240,9
241,18
242,9
243,18
244,17
245,18
246,11
247,18
248,18
249,18
250,18
251,9
252,18
253,18
254,9
255,18
256,18
257,18
258,9
259,18
260,18
261,9
262,18
263,18
264,18
265,18
266,9
267,11
268,11
269,18
270,9
271,9
272,18
273,18
274,18
275,18
276,18
277,18
278,11
279,11
280,9
281,18
282,18
283,11
284,9
285,18
286,18
287,18
288,18
289,11
290,18
291,18
292,9
293,18
294,18
295,11
296,18
297,18
298,18
299,18
300,18
301,11
302,18
303,18
304,18
305,18
306,9
307,18
308,18
309,18
310,9
311,18
312,9
313,18
314,11
315,11
316,18
317,18
318,18
319,11
320,18
321,18
322,18
323,11
324,18
325,11
326,18
327,9
328,18
329,18
330,18
331,9
332,18
333,18
334,9
335,9
336,18
337,9
338,18
339,18
340,18
341,11
342,11
343,18
344,9
345,9
346,18
347,9
348,18
349,18
350,9
351,9
352,18
353,18
354,9
355,11
356,18
357,18
358,18
359,11
360,18
361,18
362,11
363,18
364,11
365,18
366,18
367,18
368,9
369,11
370,18
371,18
372,18
373,9
374,18
375,18
376,11
377,18
378,18
379,18
380,11
381,11
382,11
383,18
384,18
385,9
386,18
387,18
388,18
389,9
390,18
391,9
392,18
393,18
394,11
395,18
396,9
397,18
398,18
399,18
400,18
401,18
402,18
403,18
404,18
405,18
406,11
407,18
408,11
409,11
410,18
411,18
412,18
413,18
414,18
415,18
416,18
417,11
418,18
419,9
420,11
421,18
422,18
423,9
424,18
425,18
426,18
427,18
428,18
429,18
430,18
431,18
432,18
433,9
434,18
435,9
436,11
437,18
438,9
439,18
440,18
441,18
442,18
443,11
444,18
445,18
446,18
447,11
448,18
449,18
450,18
451,18
452,9
453,18
454,9
455,18
456,18
457,18
458,11
459,18
460,18
461,9
462,11
463,18
464,18
465,18
466,11
467,11
468,11
469,18
470,9
471,11
472,11
473,11
474,11
475,11
476,18
477,9
478,18
479,9
480,9
481,18
482,9
483,18
484,18
485,9
486,18
487,9
488,11
489,18
490,18
491,9
492,18
493,18
494,11
495,9
496,18
497,18
498,9
499,18
500,18
501,18
502,18
503,11
504,18
505,18
506,18
507,18
508,11
509,9
510,18
511,11
512,18
513,18
514,18
515,18
516,11
517,18
518,18
519,18
520,18
521,18
522,9
523,11
524,11
525,18
526,18
527,18
528,11
529,18
530,18
531,11
532,18
533,18
534,11
535,9
536,11
537,18
538,18
539,18
540,9
541,9
542,18
543,18
544,11
545,18
546,20
547,11
548,9
549,9
550,9
551,18
552,18
553,18
554,18
555,9
556,18
557,18
558,9
559,18
560,11
561,18
562,18
563,11
564,11
565,11
566,11
567,9
568,18
569,9
570,18
571,18
572,18
573,18
574,18
575,18
576,9
577,18
578,9
579,9
580,9
581,18
582,9
583,18
584,9
585,18
586,11
587,18
588,18
589,18
590,18
591,18
592,18
593,11
594,11
595,9
596,9
597,11
598,18
599,9
600,18
601,11
602,18
603,18
604,18
605,18
606,18
607,18
608,9
609,18
610,11
611,9
612,11
613,18
614,18
615,9
616,18
617,9
618,18
619,18
620,18
621,18
622,9
623,18
624,11
625,18
626,11
627,9
628,18
629,11
630,9
631,9
632,9
633,18
634,5
635,18
636,11
637,9
638,18
639,18
640,9
641,11
642,9
643,18
644,11
645,11
646,18
647,18
648,18
649,18
650,18
651,11
652,9
653,18
654,9
655,18
656,18
657,18
658,11
659,11
660,9
661,18
662,18
663,9
664,18
665,18
666,11
667,18
668,18
669,9
670,18
671,9
672,18
673,18
674,11
675,9
676,18
677,11
678,18
679,18
680,11
681,18
682,18
683,11
684,9
685,9
686,11
687,11
688,18
689,18
690,18
691,11
692,18
693,11
694,18
695,18
696,18
697,11
698,9
699,11
700,15
701,18
702,18
703,18
704,11
705,9
706,11
707,11
708,18
709,18
710,18
711,9
712,11
713,18
714,18
715,11
716,18
717,18
718,9
719,18
720,9
721,9
722,9
723,18
724,18
725,18
726,18
727,11
728,18
729,9
730,9
731,9
732,18
733,11
734,18
735,18
736,18
737,9
738,9
739,18
740,18
741,9
742,18
743,18
744,18
745,18
746,18
747,18
748,11
749,18
750,18
751,18
752,18
753,9
754,18
755,11
756,11
757,18
758,18
759,11
760,11
761,18
762,11
763,11
764,18
765,9
766,18
767,11
768,18
769,18
770,18
771,18
772,11
773,18
774,18
775,11
776,11
777,9
778,11
779,18
780,11
781,18
782,9
783,11
784,18
785,18
786,9
787,18
788,18
789,11
790,18
791,11
792,9
793,18
794,9
795,18
796,5
797,9
798,18
799,18
800,9
801,11
802,11
803,11
804,9
805,18
806,18
807,9
808,9
809,18
810,18
811,11
812,18
813,9
814,9
815,18
816,9
817,18
818,18
819,18
820,18
821,18
822,18
823,11
824,5
825,18
826,9
827,9
828,18
829,18
830,9
831,18
832,18
833,9
834,18
835,18
836,9
837,18
838,18
839,18
840,18
841,11
842,11
843,11
844,18
845,18
846,18
847,18
848,9
849,18
850,18
851,18
852,9
853,11
854,18
855,9
856,11
857,18
858,11
859,18
860,9
861,11
862,18
863,18
864,18
865,18
866,18
867,18
868,18
869,18
870,9
871,18
872,11
873,18
874,11
875,18
876,18
877,9
878,18
879,9
880,18
881,18
882,18
883,11
884,18
885,18
886,18
887,11
888,18
889,18
890,11
891,18
892,9
893,18
894,9
895,9
896,11
897,9
898,9
899,18
900,18
901,11
902,18
903,18
904,18
905,9
906,11
907,9
908,18
909,18
910,18
911,11
912,9
913,9
914,11
915,18
916,18
917,18
918,9
919,18
920,11
921,18
922,9
923,9
924,18
925,18
926,18
927,11
928,11
929,18
930,18
931,18
932,9
933,18
934,18
935,18
936,18
937,9
938,18
939,9
940,9
941,18
942,18
943,18
944,18
945,11
946,18
947,10
948,18
949,18
950,18
951,18
952,9
953,18
954,9
955,9
956,11
957,11
958,9
959,18
960,18
961,11
962,18
963,9
964,9
965,18
966,18
967,18
968,9
969,11
970,11
971,11
972,11
973,11
974,11
975,18
976,18
977,9
978,18
979,18
980,18
981,18
982,18
983,18
984,11
985,18
986,9
987,9
988,9
989,18
990,18
991,18
992,18
993,18
994,9
995,18
996,18
997,11
998,11
999,11
1000,18
1001,18
1002,18
1003,11
1004,9
1005,18
1006,9
1007,11
1008,18
1009,18
1010,18
1011,9
1012,18
1013,11
1014,18
1015,18
1016,18
1017,18
1018,11
1019,18
1020,18
1021,11
1022,11
1023,18
1024,18
1025,18
1026,9
1027,18
1028,11
1029,18
1030,18
1031,9
1032,9
1033,18
1034,18
1035,18
1036,18
1037,18
1038,18
1039,11
1040,18
1041,18
1042,18
1043,11
1044,18
1045,11
1046,9
1047,18
1048,18
1049,11
1050,9
1051,11
1052,11
1053,9
1054,18
1055,18
1056,18
1057,18
1058,9
1059,11
1060,9
1061,18
1062,9
1063,18
1064,11
1065,18
1066,18
1067,11
1068,9
1069,11
1070,9
1071,11
1072,18
1073,11
1074,11
1075,18
1076,9
1077,11
1078,11
1079,18
1080,18
1081,9
1082,18
1083,11
1084,9
1085,18
1086,18
1087,18
1088,9
1089,11
1090,11
1091,18
1092,11
1093,18
1094,18
1095,18
1096,11
1097,9
1098,9
1099,18
1100,18
1101,9
1102,18
1103,18
1104,11
1105,9
1106,18
1107,9
1108,9
1109,9
1110,11
1111,9
1112,18
1113,9
1114,9
1115,18
1116,18
1117,11
1118,9
1119,18
1120,9
1121,9
1122,18
1123,11
1124,18
1125,11
1126,9
1127,18
1128,11
1129,18
1130,18
1131,18
1132,9
1133,18
1134,18
1135,18
1136,11
1137,18
1138,11
1139,11
1140,18
1141,9
1142,18
1143,18
1144,9
1145,18
